NoiseType,MMSE,SignalPower
impulse_spikes,0.0,0.4640000000000001
white,0.0,0.42700000000000005
pink,0.0,0.483
brown,0.0,0.4590000000000001
multi_tone,0.2,0.292
impulse_spikes,0.0,0.394
white,0.1,0.4
pink,0.0,0.522
brown,0.1,0.39100000000000007
multi_tone,0.0,0.5050000000000001
impulse_spikes,0.0,0.508
white,0.1,0.42300000000000004
pink,0.0,0.45500000000000007
brown,0.1,0.26800000000000007
multi_tone,0.2,0.306
impulse_spikes,0.0,0.5120000000000001
white,0.0,0.5080000000000001
pink,0.0,0.499
brown,0.3,0.096
multi_tone,0.3,0.16799999999999998
impulse_spikes,0.0,0.49700000000000005
white,0.0,0.513
pink,0.0,0.51
brown,0.0,0.5050000000000001
multi_tone,0.0,0.518
impulse_spikes,0.0,0.522
white,0.0,0.44299999999999995
pink,0.2,0.34500000000000003
brown,0.0,0.5000000000000001
multi_tone,0.0,0.518
impulse_spikes,0.1,0.376
white,0.0,0.509
pink,0.0,0.453
brown,0.0,0.46900000000000003
multi_tone,0.0,0.5000000000000001
impulse_spikes,0.1,0.418
white,0.0,0.49300000000000005
pink,0.0,0.49700000000000016
brown,0.0,0.38
multi_tone,0.0,0.5229999999999999
impulse_spikes,0.1,0.39699999999999996
white,0.0,0.5130000000000001
pink,0.0,0.475
brown,0.0,0.47200000000000014
multi_tone,0.0,0.4900000000000001
impulse_spikes,0.2,0.36100000000000004
white,0.0,0.4620000000000001
pink,0.0,0.48900000000000005
brown,0.0,0.526
multi_tone,0.0,0.5250000000000001
impulse_spikes,0.0,0.48100000000000004
white,0.1,0.42800000000000005
pink,0.0,0.499
brown,0.0,0.44600000000000006
multi_tone,0.1,0.47000000000000003
impulse_spikes,0.1,0.373
white,0.0,0.49400000000000005
pink,0.1,0.437
brown,0.0,0.488
multi_tone,0.0,0.522
impulse_spikes,0.1,0.378
white,0.0,0.506
pink,0.0,0.5029999999999999
brown,0.0,0.4830000000000001
multi_tone,0.1,0.466
impulse_spikes,0.1,0.417
white,0.0,0.519
pink,0.0,0.5010000000000001
brown,0.1,0.36499999999999994
multi_tone,0.0,0.471
impulse_spikes,0.0,0.4960000000000001
white,0.0,0.4790000000000001
pink,0.0,0.4720000000000001
brown,0.0,0.499
multi_tone,0.2,0.34199999999999997
impulse_spikes,0.0,0.5
white,0.0,0.5080000000000001
pink,0.0,0.4920000000000001
brown,0.0,0.49700000000000005
multi_tone,0.0,0.518
impulse_spikes,0.1,0.44300000000000006
white,0.0,0.47000000000000003
pink,0.0,0.5010000000000001
brown,0.0,0.47800000000000004
multi_tone,0.0,0.4790000000000001
impulse_spikes,0.1,0.403
white,0.1,0.39
pink,0.0,0.4900000000000001
brown,0.0,0.417
multi_tone,0.0,0.483
impulse_spikes,0.1,0.38
